Content,Video title,Video publish time,Duration,Average view duration,Unique viewers,Stayed to watch (%),Average views per viewer,New viewers,Returning viewers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,0:00:45,0,0,0,0,0,167,2.1311,4,9202,0.75
PU50erzKEjk,CS2 - Smokes Anubis,"Feb 25, 2025",257,0:00:42,,,,,,52,0.6107,2,1572,1.15
bvWgFixX4BQ,Smokes BOMB B - ANUBIS - ATUALIZADO,"Mar 20, 2025",83,0:00:35,,,,,,38,0.3799,0,3717,0.59
Gc2SMmzzmUs,CS2 - Cache,"Mar 3, 2025",191,0:00:40,,,,,,36,0.4004,0,2083,0.96
bXYxJcWGZR0,CS2 - SMOKES Mirage,"Mar 21, 2025",131,0:00:33,,,,,,20,0.1841,0,1750,0.4
L_R7MVHWOkM,Tentativa1,"Nov 26, 2015",55,0:01:21,,,,,,2,0.0452,0,4,25
k8lTs7CXJL0,Smokes Anubis,"Nov 22, 2022",287,0:02:28,,,,,,5,0.2064,1,13,0
HChO55orsyk,THE_WolF_BR - PDW Streak,"Oct 16, 2013",70,0:01:09,,,,,,1,0.0192,0,4,25
NEQhOBuid_k,Algumas Granadas no Mapa da Mirage!,"Dec 7, 2022",353,0:06:02,,,,,,1,0.1007,0,16,0
kzU-Mdz2pls,Algumas Granadas no Mapa da Nuke!,"Dec 8, 2022",240,0:01:41,,,,,,2,0.0566,0,16,0
rWdMlYrMx8k,Granadas no mapa da Cache!,"Dec 7, 2022",247,0:02:27,,,,,,2,0.0822,0,13,0
