Video title,Video publish time,Views,Subscribers,Impressions,Impressions click-through rate (%),Duration M.S,Average view duration M.S
CS2 - Smokes Anubis,2025-02-25,52,2,1572,1.15,4.17,0.42
Smokes BOMB B - ANUBIS - ATUALIZADO,2025-03-20,38,0,3717,0.59,1.23,0.35
CS2 - Cache,2025-03-03,36,0,2083,0.96,3.11,0.4
CS2 - SMOKES Mirage,2025-03-21,20,0,1750,0.4,2.11,0.33
Tentativa1,2015-11-26,2,0,4,25.0,0.55,1.21
Smokes Anubis,2022-11-22,5,1,13,0.0,4.47,2.28
THE_WolF_BR - PDW Streak,2013-10-16,1,0,4,25.0,1.1,1.09
Algumas Granadas no Mapa da Mirage!,2022-12-07,1,0,16,0.0,5.53,6.02
Algumas Granadas no Mapa da Nuke!,2022-12-08,2,0,16,0.0,4.0,1.41
Granadas no mapa da Cache!,2022-12-07,2,0,13,0.0,4.07,2.27
